url,dateStart,dateEnd,open,closed,total
https://github.com/angular/material,2022-11-16,2022-12-16,3,3,6
https://github.com/angular/material,2022-10-16,2022-11-16,331,669,1000
https://github.com/angular/material,2022-09-16,2022-10-16,121,956,1077
https://github.com/angular/material,2022-08-16,2022-09-16,103,999,1102
https://github.com/angular/material,2022-07-16,2022-08-16,97,981,1078
https://github.com/angular/material,2022-06-16,2022-07-16,97,1321,1418
https://github.com/angular/material,2022-05-16,2022-06-16,73,1289,1362
https://github.com/angular/material,2022-04-16,2022-05-16,74,998,1072
https://github.com/angular/material,2022-03-16,2022-04-16,81,1005,1086
https://github.com/angular/material,2022-02-16,2022-03-16,58,1015,1073
https://github.com/angular/material,2022-01-16,2022-02-16,73,1160,1233
https://github.com/angular/material,2021-12-16,2022-01-16,44,691,735
https://github.com/angular/material,2021-11-16,2021-12-16,87,970,1057
https://github.com/angular/material,2021-10-16,2021-11-16,72,1132,1204
https://github.com/angular/material,2021-09-16,2021-10-16,69,1175,1244
https://github.com/angular/material,2021-08-16,2021-09-16,65,1133,1198
https://github.com/angular/material,2021-07-16,2021-08-16,54,1193,1247
https://github.com/angular/material,2021-06-16,2021-07-16,46,1084,1130
https://github.com/angular/material,2021-05-16,2021-06-16,71,1607,1678
https://github.com/angular/material,2021-04-16,2021-05-16,45,1421,1466
https://github.com/angular/material,2021-03-16,2021-04-16,54,1396,1450
https://github.com/angular/material,2021-02-16,2021-03-16,47,1178,1225
https://github.com/angular/material,2021-01-16,2021-02-16,57,1259,1316
https://github.com/angular/material,2020-12-16,2021-01-16,44,946,990
