url,dateStart,dateEnd,open,closed,total
https://github.com/sebholstein/angular-google-maps,2022-11-16,2022-12-16,0,0,0
https://github.com/sebholstein/angular-google-maps,2022-10-16,2022-11-16,0,0,0
https://github.com/sebholstein/angular-google-maps,2022-09-16,2022-10-16,1,1,2
https://github.com/sebholstein/angular-google-maps,2022-08-16,2022-09-16,4,1,5
https://github.com/sebholstein/angular-google-maps,2022-07-16,2022-08-16,3,2,5
https://github.com/sebholstein/angular-google-maps,2022-06-16,2022-07-16,3,1,4
https://github.com/sebholstein/angular-google-maps,2022-05-16,2022-06-16,5,0,5
https://github.com/sebholstein/angular-google-maps,2022-04-16,2022-05-16,4,0,4
https://github.com/sebholstein/angular-google-maps,2022-03-16,2022-04-16,2,0,2
https://github.com/sebholstein/angular-google-maps,2022-02-16,2022-03-16,2,1,3
https://github.com/sebholstein/angular-google-maps,2022-01-16,2022-02-16,4,0,4
https://github.com/sebholstein/angular-google-maps,2021-12-16,2022-01-16,3,1,4
https://github.com/sebholstein/angular-google-maps,2021-11-16,2021-12-16,2,0,2
https://github.com/sebholstein/angular-google-maps,2021-10-16,2021-11-16,2,1,3
https://github.com/sebholstein/angular-google-maps,2021-09-16,2021-10-16,2,4,6
https://github.com/sebholstein/angular-google-maps,2021-08-16,2021-09-16,0,9,9
https://github.com/sebholstein/angular-google-maps,2021-07-16,2021-08-16,0,6,6
https://github.com/sebholstein/angular-google-maps,2021-06-16,2021-07-16,0,2,2
https://github.com/sebholstein/angular-google-maps,2021-05-16,2021-06-16,2,10,12
https://github.com/sebholstein/angular-google-maps,2021-04-16,2021-05-16,1,13,14
https://github.com/sebholstein/angular-google-maps,2021-03-16,2021-04-16,1,5,6
https://github.com/sebholstein/angular-google-maps,2021-02-16,2021-03-16,0,2,2
https://github.com/sebholstein/angular-google-maps,2021-01-16,2021-02-16,2,4,6
https://github.com/sebholstein/angular-google-maps,2020-12-16,2021-01-16,1,5,6
