url,dateStart,dateEnd,open,closed,total
https://github.com/keras-team/keras,2022-11-16,2022-12-16,1,1,2
https://github.com/keras-team/keras,2022-10-16,2022-11-16,120,185,305
https://github.com/keras-team/keras,2022-09-16,2022-10-16,90,257,347
https://github.com/keras-team/keras,2022-08-16,2022-09-16,82,312,394
https://github.com/keras-team/keras,2022-07-16,2022-08-16,73,215,288
https://github.com/keras-team/keras,2022-06-16,2022-07-16,76,260,336
https://github.com/keras-team/keras,2022-05-16,2022-06-16,67,264,331
https://github.com/keras-team/keras,2022-04-16,2022-05-16,100,244,344
https://github.com/keras-team/keras,2022-03-16,2022-04-16,68,397,465
https://github.com/keras-team/keras,2022-02-16,2022-03-16,55,228,283
https://github.com/keras-team/keras,2022-01-16,2022-02-16,43,297,340
https://github.com/keras-team/keras,2021-12-16,2022-01-16,36,155,191
https://github.com/keras-team/keras,2021-11-16,2021-12-16,48,176,224
https://github.com/keras-team/keras,2021-10-16,2021-11-16,34,167,201
https://github.com/keras-team/keras,2021-09-16,2021-10-16,29,176,205
https://github.com/keras-team/keras,2021-08-16,2021-09-16,44,225,269
https://github.com/keras-team/keras,2021-07-16,2021-08-16,29,293,322
https://github.com/keras-team/keras,2021-06-16,2021-07-16,35,272,307
https://github.com/keras-team/keras,2021-05-16,2021-06-16,14,152,166
https://github.com/keras-team/keras,2021-04-16,2021-05-16,13,90,103
https://github.com/keras-team/keras,2021-03-16,2021-04-16,21,102,123
https://github.com/keras-team/keras,2021-02-16,2021-03-16,20,143,163
https://github.com/keras-team/keras,2021-01-16,2021-02-16,20,125,145
https://github.com/keras-team/keras,2020-12-16,2021-01-16,18,111,129
