url,dateStart,dateEnd,open,closed,total
https://github.com/golang/go,2022-11-16,2022-12-16,3,0,3
https://github.com/golang/go,2022-10-16,2022-11-16,270,346,616
https://github.com/golang/go,2022-09-16,2022-10-16,271,586,857
https://github.com/golang/go,2022-08-16,2022-09-16,239,604,843
https://github.com/golang/go,2022-07-16,2022-08-16,187,846,1033
https://github.com/golang/go,2022-06-16,2022-07-16,164,488,652
https://github.com/golang/go,2022-05-16,2022-06-16,164,479,643
https://github.com/golang/go,2022-04-16,2022-05-16,161,530,691
https://github.com/golang/go,2022-03-16,2022-04-16,181,716,897
https://github.com/golang/go,2022-02-16,2022-03-16,147,515,662
https://github.com/golang/go,2022-01-16,2022-02-16,167,553,720
https://github.com/golang/go,2021-12-16,2022-01-16,120,549,669
https://github.com/golang/go,2021-11-16,2021-12-16,139,610,749
https://github.com/golang/go,2021-10-16,2021-11-16,138,702,840
https://github.com/golang/go,2021-09-16,2021-10-16,163,554,717
https://github.com/golang/go,2021-08-16,2021-09-16,161,680,841
https://github.com/golang/go,2021-07-16,2021-08-16,111,500,611
https://github.com/golang/go,2021-06-16,2021-07-16,141,446,587
https://github.com/golang/go,2021-05-16,2021-06-16,156,595,751
https://github.com/golang/go,2021-04-16,2021-05-16,149,605,754
https://github.com/golang/go,2021-03-16,2021-04-16,136,588,724
https://github.com/golang/go,2021-02-16,2021-03-16,186,794,980
https://github.com/golang/go,2021-01-16,2021-02-16,143,617,760
https://github.com/golang/go,2020-12-16,2021-01-16,132,530,662
